# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4.1
# Go: go1.26.2
# Swift: release (SwiftUIBridge, embedded)
# Bridge: internal/embeddedbridge/libSwiftUIBridge.dylib
# go test -run='^$' -bench='^Benchmark(LeafText|LeafSpacer|LeafImage|ContainerBuild|ContainerBuildReuse|ContainerBuildNoReuse)$' -benchmem -count=10 -benchtime=2s .
# Post-P6a: container constructors pull a scratch []uintptr from the
# view_builder arena (view_builder.go). Inline capacity [16]uintptr
# covers the common case; larger containers spill to a retained
# overflow buffer (capped at 128 entries to avoid pinning outsize
# allocations). Per-call allocation drops from 5 → 4 on every
# container variant; byte-count drops are proportional (53-70% on
# the Reuse and NoReuse paths). Leaf benchmarks (Text/Spacer/Image)
# are unchanged because the *retained allocation and the purego
# reflect.MakeFunc trampoline allocs are outside this slice's scope.
#
BenchmarkLeafText-16                 	 5846674	       436.9 ns/op	      80 B/op	       3 allocs/op
BenchmarkContainerBuildReuse/shallow_2-16         	 4206290	       568.3 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/shallow_2-16         	 4227591	       566.8 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/shallow_2-16         	 3190155	       999.2 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/shallow_2-16         	 3547682	      1161 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/medium_8-16          	 3087756	      1092 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/medium_8-16          	 2963138	       862.8 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/medium_8-16          	 2989222	       796.8 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/medium_8-16          	 1801556	      1308 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/medium_8-16          	 2122810	      1332 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/medium_8-16          	 3394374	       691.9 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/medium_8-16          	 3710732	       846.5 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/medium_8-16          	 3111853	       653.3 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/medium_8-16          	 3814545	      2457 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/medium_8-16          	 1000000	      2705 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/inline_16-16         	 1000000	      2233 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/inline_16-16         	 2928590	       778.7 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/inline_16-16         	 3347649	      2006 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/inline_16-16         	 1000000	      2220 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/inline_16-16         	 2538532	       802.2 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/inline_16-16         	 3382393	       715.9 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/inline_16-16         	 2801097	      2919 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/inline_16-16         	 3106822	       789.4 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/inline_16-16         	 3418112	      1349 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildReuse/inline_16-16         	 3321288	       715.6 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildNoReuse-16                 	 2753779	       871.5 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildNoReuse-16                 	 2743210	       870.2 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildNoReuse-16                 	 2756673	       965.9 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildNoReuse-16                 	 2700254	       895.0 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildNoReuse-16                 	 2683708	       894.0 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildNoReuse-16                 	 2677714	       891.7 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildNoReuse-16                 	 2540982	       893.9 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildNoReuse-16                 	 2684277	      1333 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildNoReuse-16                 	 2680368	       890.0 ns/op	     112 B/op	       4 allocs/op
BenchmarkContainerBuildNoReuse-16                 	 2702204	       886.4 ns/op	     112 B/op	       4 allocs/op
PASS
ok  	github.com/tmc/swiftui	365.451s
