# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# Bridge: internal/swift/.build/arm64-apple-macosx/release/libSwiftUIBridge.dylib
# go test -run='^$' -bench='Benchmark(StateGenReadHot|StateGenReadMiss|StringStateGetRepeated)' -benchmem -count=10 -benchtime=1s .
# Pre-P2-tail: Go-side State.Get still crosses FFI on every call.
# _SUIStateGen exists on the Swift side (from P2-tail Swift work) but
# is not yet consulted by Go. Numbers here are the MISS framing for
# StringStateGetRepeated that the P2 ledger still carries.
#
goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkStringStateGetRepeated-16    	  945374	      1242 ns/op	     192 B/op	      16 allocs/op
BenchmarkStateGenReadHot/float-16     	 5345679	       223.6 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16     	 5345136	       224.7 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16     	 5354234	       224.6 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16     	 5363935	       224.3 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16     	 5347311	       224.4 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16     	 5374681	       226.3 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16     	 5340596	       224.8 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16     	 5338900	       224.6 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16      	 5308090	       226.7 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16      	 5293228	       226.5 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16      	 5315000	       226.1 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16      	 5314236	       225.7 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16      	 5319045	       226.7 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16      	 5264427	       227.6 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16      	 5270140	       227.9 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16      	 5262938	       228.4 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16      	 5262402	       229.1 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16      	 5250974	       228.4 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadMiss/int-16      	 2130030	       566.2 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16      	 2130243	       564.9 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16      	 2128329	       564.2 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16      	 2125740	       564.3 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16      	 2130296	       564.4 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16      	 2117176	       565.3 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16      	 2120865	       564.7 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16      	 2125514	       565.7 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16      	 2126482	       565.2 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16      	 2122754	       565.2 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16   	 1709517	       701.7 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16   	 1712192	       702.0 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16   	 1713111	       700.6 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16   	 1642870	       925.5 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16   	 1284630	       955.8 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16   	 1341760	       875.4 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16   	 1287098	       787.4 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16   	 1454902	       794.4 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16   	 1629964	       754.3 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16   	 1557062	       849.2 ns/op	     112 B/op	       6 allocs/op
PASS
ok  	github.com/tmc/swiftui	111.254s
